20-03-2018 17:32:30 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (d09231a2890344dde71f5f9ca85e6121)] -> xpath: //div[@class='container body-content']/h2]' is visible
20-03-2018 17:32:31 INFO  Actionwords:759 - true
20-03-2018 17:32:31 INFO  TPStatementPage:191 - No. of columns in the table header are: 16
20-03-2018 17:32:31 INFO  TPStatementPage:223 - Required column is present in statement table at position: 2
20-03-2018 17:32:31 INFO  TPStatementPage:240 - Row present in statement table are: 19
20-03-2018 17:32:32 INFO  TPStatementPage:325 - Number of statement present with required status of: Pending are- 19
20-03-2018 17:32:34 INFO  TPStatementPage:191 - No. of columns in the table header are: 16
20-03-2018 17:32:34 INFO  TPStatementPage:223 - Required column is present in statement table at position: 2
20-03-2018 17:32:34 INFO  ExcelReader:61 - Row no. returned from sheet is: 1
20-03-2018 17:32:34 INFO  ExcelReader:96 - Cell value on row 1 and column 3 is: Pending
20-03-2018 17:32:34 INFO  TPStatementPage:240 - Row present in statement table are: 19
20-03-2018 17:32:34 INFO  TPStatementPage:325 - Number of statement present with required status of: Pending are- 19
20-03-2018 17:32:34 INFO  TPStatementPage:240 - Row present in statement table are: 19
20-03-2018 17:32:34 INFO  TPStatementPage:191 - No. of columns in the table header are: 16
20-03-2018 17:32:34 INFO  TPStatementPage:223 - Required column is present in statement table at position: 2
20-03-2018 17:32:35 INFO  Actionwords:1105 - <----------Scenario Completed: Select single statement pending agreement--------------->
20-03-2018 17:32:35 INFO  Actionwords:1120 - <<<<<------------------------------------------------------------------------------->>>>>
20-03-2018 17:32:36 INFO  TestRunner:56 - ****************Test Run Completed at_20-03-2018_17-32-36*******************
20-03-2018 17:38:31 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_17-38-31*******************
20-03-2018 17:38:37 INFO  Actionwords:1095 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 17:38:40 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (1fe2ff0a1d36c0598dc8a9e9b9bcfa15)] -> id: Email]
20-03-2018 17:38:40 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 17:38:40 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 17:38:41 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (1fe2ff0a1d36c0598dc8a9e9b9bcfa15)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
